规则ID,规则名称,是否启用,优先级,设备类别,故障类别,风险标签,保修条件,区域,推荐责任方ID,紧急度,接单SLA秒,强制人工复核,说明
R001,人身与电气安全硬规则（模拟）,是,10,全部,电气/供电异常,冒烟/焦味|漏电|人员安全,全部,全部,INT-M,P1,60,是,高风险强制人工并通知运营
R002,低温与食安风险规则（模拟）,是,10,低温储存设备|售卖温控设备,温控异常,食品安全,全部,全部,SUP-B,P1,60,是,低温食安风险强制人工
R003,华中Gelato保修内机械异常（模拟）,是,20,Gelato制作设备,机械运行异常|制作质量异常|无法启动,,保修内,华中,SUP-A,P2,120,否,唯一绑定供应商A
R004,华东Gelato保修内路由（模拟）,是,20,Gelato制作设备,机械运行异常|制作质量异常|无法启动,,保修内,华东,SUP-C,P2,120,否,唯一绑定供应商C
R005,Gelato保修外一般故障（模拟）,是,30,Gelato制作设备,机械运行异常|制作质量异常|无法启动,,保修外,全部,INT-M,P2,120,否,保修外先由内部维修组受理
R006,操作清洁问题（模拟）,是,30,全部,操作/清洁问题,,全部,全部,INT-M,P3,300,否,一般操作清洁问题
R007,收银软件异常（模拟）,是,30,收银设备,软件/系统异常,,全部,全部,INT-IT,P2,120,否,内部IT处理
R008,华东空调设施异常（模拟）,是,30,空调设备,设施制冷异常,,全部,华东,SUP-D,P3,300,否,设施供应商D处理
R009,一般低温温控异常（模拟）,是,20,低温储存设备|售卖温控设备,温控异常,,全部,全部,SUP-B,P1,60,否,供应商B处理
R010,人工复核兜底（模拟）,是,99,全部,全部,,全部,全部,INT-M,待确认,0,是,无具体规则时人工复核
